Order_ID,Order_Date,Order_Priority,Ord_id
34246,07-10-2010,CRITICAL,Ord_217
34631,23-10-2009,"NOT SPECIFIED",Ord_218
35047,09-06-2010,MEDIUM,Ord_219
35266,10-01-2011,"NOT SPECIFIED",Ord_220
35847,30-01-2009,CRITICAL,Ord_221
36001,28-03-2011,LOW,Ord_222
36134,22-11-2010,LOW,Ord_223
36135,30-05-2011,"NOT SPECIFIED",Ord_224
36644,13-05-2012,HIGH,Ord_225
36646,08-06-2010,MEDIUM,Ord_226
36707,29-11-2009,MEDIUM,Ord_227
37253,01-09-2012,HIGH,Ord_228
37541,26-02-2010,MEDIUM,Ord_229
37634,21-05-2012,MEDIUM,Ord_230
37793,08-11-2009,"NOT SPECIFIED",Ord_231
37860,27-08-2010,MEDIUM,Ord_232
38884,17-08-2012,HIGH,Ord_233
39364,09-11-2012,HIGH,Ord_234
39457,02-06-2011,CRITICAL,Ord_235
39683,10-08-2011,HIGH,Ord_236
39846,27-02-2009,LOW,Ord_237
40036,07-06-2010,"NOT SPECIFIED",Ord_238
40067,17-02-2012,LOW,Ord_239
40132,23-02-2012,LOW,Ord_240
40160,15-10-2009,CRITICAL,Ord_241
40518,13-03-2009,CRITICAL,Ord_242
40804,12-03-2010,MEDIUM,Ord_243
40902,07-07-2009,LOW,Ord_244
41063,21-11-2012,LOW,Ord_245
41153,02-03-2009,MEDIUM,Ord_246
41184,22-09-2011,HIGH,Ord_247
41409,21-07-2011,"NOT SPECIFIED",Ord_248
41696,13-07-2009,"NOT SPECIFIED",Ord_249
42209,29-03-2010,HIGH,Ord_250
42561,06-02-2010,LOW,Ord_251
42564,12-09-2012,LOW,Ord_252
42695,22-12-2010,"NOT SPECIFIED",Ord_253
42981,30-05-2009,CRITICAL,Ord_254
43109,21-12-2012,CRITICAL,Ord_255
43203,14-02-2012,"NOT SPECIFIED",Ord_256
43236,03-07-2010,"NOT SPECIFIED",Ord_257
43267,16-05-2011,CRITICAL,Ord_258
43329,07-03-2010,MEDIUM,Ord_259
43330,27-04-2009,"NOT SPECIFIED",Ord_260
43364,07-04-2012,HIGH,Ord_261
43392,31-12-2010,MEDIUM,Ord_262
43781,02-02-2010,"NOT SPECIFIED",Ord_263
44071,15-04-2012,"NOT SPECIFIED",Ord_264
44519,19-05-2010,HIGH,Ord_265
44708,27-07-2009,"NOT SPECIFIED",Ord_266
44772,31-03-2009,"NOT SPECIFIED",Ord_267
44839,11-06-2012,CRITICAL,Ord_268
45217,01-09-2010,"NOT SPECIFIED",Ord_269
45440,09-08-2012,CRITICAL,Ord_270
45766,07-05-2010,HIGH,Ord_271
45861,25-08-2011,MEDIUM,Ord_272
45957,21-09-2010,CRITICAL,Ord_273
46912,30-06-2012,LOW,Ord_274
46980,17-01-2011,CRITICAL,Ord_275
47460,10-10-2010,CRITICAL,Ord_276
47462,09-06-2011,HIGH,Ord_277
47620,26-06-2012,LOW,Ord_278
47749,16-03-2010,MEDIUM,Ord_279
47873,13-11-2010,CRITICAL,Ord_280
47943,14-11-2009,MEDIUM,Ord_281
48101,12-09-2011,HIGH,Ord_282
48295,23-11-2009,MEDIUM,Ord_283
48839,10-07-2010,CRITICAL,Ord_284
49154,06-03-2009,MEDIUM,Ord_285
49921,17-02-2011,LOW,Ord_286
49952,19-11-2011,HIGH,Ord_287
50117,03-06-2011,CRITICAL,Ord_288
50278,25-05-2010,HIGH,Ord_289
50374,30-05-2009,"NOT SPECIFIED",Ord_290
50565,30-08-2012,HIGH,Ord_291
50688,16-12-2011,CRITICAL,Ord_292
50754,09-12-2009,"NOT SPECIFIED",Ord_293
50914,03-07-2012,CRITICAL,Ord_294
51169,24-12-2010,HIGH,Ord_295
51938,17-05-2011,LOW,Ord_296
51970,11-01-2012,"NOT SPECIFIED",Ord_297
51971,03-10-2011,"NOT SPECIFIED",Ord_298
52193,05-03-2010,"NOT SPECIFIED",Ord_299
52321,05-11-2011,HIGH,Ord_300
52386,05-01-2009,HIGH,Ord_301
52807,25-11-2010,MEDIUM,Ord_302
52929,08-04-2011,HIGH,Ord_303
52964,31-03-2010,CRITICAL,Ord_304
53156,10-03-2012,"NOT SPECIFIED",Ord_305
53511,20-02-2009,MEDIUM,Ord_306
53797,01-10-2009,CRITICAL,Ord_307
53990,01-11-2012,"NOT SPECIFIED",Ord_308
54083,21-07-2011,HIGH,Ord_309
54274,23-11-2010,"NOT SPECIFIED",Ord_310
54276,06-02-2010,"NOT SPECIFIED",Ord_311
54528,04-01-2011,MEDIUM,Ord_312
54567,02-08-2009,MEDIUM,Ord_313
54628,05-06-2010,HIGH,Ord_314
55298,02-08-2009,CRITICAL,Ord_315
55363,28-12-2010,HIGH,Ord_316
55366,10-10-2012,CRITICAL,Ord_317
55715,02-04-2011,CRITICAL,Ord_318
55875,25-11-2009,CRITICAL,Ord_319
56453,11-04-2012,CRITICAL,Ord_320
57127,16-02-2010,LOW,Ord_321
57344,24-09-2010,HIGH,Ord_322
57509,21-02-2009,LOW,Ord_323
57600,11-11-2012,CRITICAL,Ord_324
58055,27-10-2011,CRITICAL,Ord_325
58144,16-12-2009,LOW,Ord_326
58150,07-05-2010,CRITICAL,Ord_327
58340,08-01-2011,MEDIUM,Ord_328
58368,09-07-2012,HIGH,Ord_329
58434,09-03-2009,HIGH,Ord_330
58626,30-12-2011,HIGH,Ord_331
58688,29-03-2009,"NOT SPECIFIED",Ord_332
59045,13-02-2011,CRITICAL,Ord_333
59047,28-01-2011,"NOT SPECIFIED",Ord_334
59202,08-09-2012,MEDIUM,Ord_335
59207,18-05-2009,CRITICAL,Ord_336
59234,29-07-2012,LOW,Ord_337
59395,22-04-2012,CRITICAL,Ord_338
59558,16-07-2012,"NOT SPECIFIED",Ord_339
59585,22-09-2012,HIGH,Ord_340
59651,20-05-2010,CRITICAL,Ord_341
645,02-12-2009,HIGH,Ord_342
769,01-06-2010,MEDIUM,Ord_343
773,25-09-2010,MEDIUM,Ord_344
1187,19-11-2012,MEDIUM,Ord_345
2339,14-12-2010,LOW,Ord_346
3521,25-10-2012,LOW,Ord_347
4007,17-06-2010,HIGH,Ord_348
4416,29-06-2012,LOW,Ord_349
4454,01-02-2009,LOW,Ord_350
5153,25-08-2011,CRITICAL,Ord_351
5446,20-06-2009,LOW,Ord_352
8131,03-05-2010,CRITICAL,Ord_353
8994,07-04-2009,LOW,Ord_354
9027,02-09-2011,LOW,Ord_355
9216,14-04-2011,MEDIUM,Ord_356
9537,13-02-2011,"NOT SPECIFIED",Ord_357
9574,30-07-2011,MEDIUM,Ord_358
10435,10-08-2010,MEDIUM,Ord_359
10851,06-04-2009,HIGH,Ord_360
10852,26-10-2010,HIGH,Ord_361
11269,26-05-2012,LOW,Ord_362
11362,10-09-2012,LOW,Ord_363
11968,16-03-2011,LOW,Ord_364
12293,18-06-2011,HIGH,Ord_365
12773,11-01-2011,LOW,Ord_366
12934,05-03-2009,"NOT SPECIFIED",Ord_367
13120,14-12-2009,LOW,Ord_368
13604,02-02-2009,"NOT SPECIFIED",Ord_369
13927,26-08-2009,LOW,Ord_370
15044,06-03-2012,LOW,Ord_371
15139,19-11-2009,HIGH,Ord_372
15463,24-07-2010,LOW,Ord_373
15618,04-08-2010,MEDIUM,Ord_374
16100,07-03-2011,MEDIUM,Ord_375
16320,20-10-2011,"NOT SPECIFIED",Ord_376
16419,04-08-2009,"NOT SPECIFIED",Ord_377
17090,28-04-2010,LOW,Ord_378
17315,22-04-2009,LOW,Ord_379
17376,04-12-2011,HIGH,Ord_380
18210,06-08-2010,"NOT SPECIFIED",Ord_381
18273,15-09-2011,LOW,Ord_382
18788,02-10-2009,"NOT SPECIFIED",Ord_383
19042,01-03-2009,CRITICAL,Ord_384
19073,24-06-2009,"NOT SPECIFIED",Ord_385
19365,16-01-2011,MEDIUM,Ord_386
19617,20-01-2012,LOW,Ord_387
20033,21-05-2010,CRITICAL,Ord_388
21223,15-03-2012,"NOT SPECIFIED",Ord_389
21378,07-08-2011,MEDIUM,Ord_390
21542,21-05-2011,HIGH,Ord_391
22656,22-12-2010,"NOT SPECIFIED",Ord_392
22695,03-07-2009,LOW,Ord_393
23076,27-05-2009,CRITICAL,Ord_394
24067,22-08-2012,HIGH,Ord_395
24388,26-01-2011,CRITICAL,Ord_396
24451,03-12-2012,CRITICAL,Ord_397
24806,06-09-2010,"NOT SPECIFIED",Ord_398
24965,29-03-2011,LOW,Ord_399
25154,20-08-2010,HIGH,Ord_400
25315,02-12-2010,LOW,Ord_401
25376,26-03-2011,CRITICAL,Ord_402
26240,19-12-2009,CRITICAL,Ord_403
26791,29-04-2011,LOW,Ord_404
28836,24-10-2010,HIGH,Ord_405
28995,12-05-2010,HIGH,Ord_406
29121,11-04-2010,MEDIUM,Ord_407
29319,24-01-2009,LOW,Ord_408
29382,17-11-2010,HIGH,Ord_409
29445,29-09-2010,HIGH,Ord_410
29762,03-08-2010,CRITICAL,Ord_411
30048,13-06-2011,MEDIUM,Ord_412
30243,05-05-2010,CRITICAL,Ord_413
30372,30-08-2010,HIGH,Ord_414
30499,30-10-2012,HIGH,Ord_415
32199,15-07-2009,HIGH,Ord_416
32327,07-08-2012,LOW,Ord_417
32676,01-02-2009,CRITICAL,Ord_418
32835,07-07-2012,MEDIUM,Ord_419
32869,27-03-2009,MEDIUM,Ord_420
33763,23-09-2010,"NOT SPECIFIED",Ord_421
34048,28-03-2011,LOW,Ord_422
34275,01-07-2009,LOW,Ord_423
34438,11-12-2010,HIGH,Ord_424
34880,16-09-2009,HIGH,Ord_425
34978,04-02-2011,HIGH,Ord_426
35141,11-09-2010,MEDIUM,Ord_427
35300,02-03-2010,MEDIUM,Ord_428
35558,15-09-2009,CRITICAL,Ord_429
36293,30-12-2010,MEDIUM,Ord_430
36516,25-07-2011,MEDIUM,Ord_431
36677,23-12-2009,LOW,Ord_432
37185,31-10-2012,HIGH,Ord_433
37888,22-12-2009,CRITICAL,Ord_434
38310,14-04-2012,HIGH,Ord_435
40327,13-05-2011,MEDIUM,Ord_436
40480,07-12-2011,CRITICAL,Ord_437
40800,04-12-2010,"NOT SPECIFIED",Ord_438
40835,24-11-2009,HIGH,Ord_439
40871,13-09-2011,"NOT SPECIFIED",Ord_440
41570,03-12-2010,"NOT SPECIFIED",Ord_441
41991,18-12-2011,LOW,Ord_442
42400,09-08-2012,LOW,Ord_443
42754,24-08-2010,CRITICAL,Ord_444
42918,22-05-2011,HIGH,Ord_445
42944,18-11-2012,CRITICAL,Ord_446
44037,28-06-2012,HIGH,Ord_447
44387,04-02-2009,LOW,Ord_448
44576,25-12-2009,"NOT SPECIFIED",Ord_449
45601,26-09-2011,HIGH,Ord_450
45606,22-09-2011,MEDIUM,Ord_451
46119,15-02-2009,CRITICAL,Ord_452
46756,11-10-2009,MEDIUM,Ord_453
47714,10-03-2011,MEDIUM,Ord_454
47846,11-08-2012,HIGH,Ord_455
47876,25-12-2009,HIGH,Ord_456
48067,29-06-2012,LOW,Ord_457
48199,18-01-2009,"NOT SPECIFIED",Ord_458
49029,20-05-2012,HIGH,Ord_459
49216,19-03-2009,HIGH,Ord_460
49990,05-09-2009,"NOT SPECIFIED",Ord_461
50081,03-11-2009,"NOT SPECIFIED",Ord_462
50404,26-03-2011,HIGH,Ord_463
50784,10-02-2012,HIGH,Ord_464
50850,06-05-2009,CRITICAL,Ord_465
51075,23-11-2010,"NOT SPECIFIED",Ord_466
51461,10-02-2011,"NOT SPECIFIED",Ord_467
51558,29-03-2010,"NOT SPECIFIED",Ord_468
52130,05-09-2012,LOW,Ord_469
52482,31-01-2011,CRITICAL,Ord_470
53410,07-08-2009,CRITICAL,Ord_471
53477,05-05-2012,HIGH,Ord_472
53508,10-11-2009,HIGH,Ord_473
53703,14-06-2010,"NOT SPECIFIED",Ord_474
54115,07-01-2012,LOW,Ord_475
54437,19-12-2010,HIGH,Ord_476
54501,29-11-2012,CRITICAL,Ord_477
54753,18-04-2009,MEDIUM,Ord_478
55138,24-09-2009,HIGH,Ord_479
55271,11-03-2011,MEDIUM,Ord_480
55331,13-12-2010,HIGH,Ord_481
55618,21-01-2012,MEDIUM,Ord_482
56645,06-01-2012,LOW,Ord_483
56803,10-12-2009,"NOT SPECIFIED",Ord_484
57159,12-02-2010,CRITICAL,Ord_485
57507,26-06-2009,CRITICAL,Ord_486
57922,08-02-2011,CRITICAL,Ord_487
58117,20-02-2011,CRITICAL,Ord_488
58278,10-09-2012,HIGH,Ord_489
58502,12-02-2010,CRITICAL,Ord_490
58788,01-02-2010,LOW,Ord_491
58947,26-09-2011,"NOT SPECIFIED",Ord_492
59074,12-08-2010,LOW,Ord_493
59233,20-08-2010,HIGH,Ord_494
59425,17-05-2012,MEDIUM,Ord_495
59750,09-07-2010,LOW,Ord_496
35,22-10-2011,"NOT SPECIFIED",Ord_497
294,15-07-2010,MEDIUM,Ord_498
450,04-03-2011,"NOT SPECIFIED",Ord_499
1028,05-01-2009,HIGH,Ord_500
1314,12-05-2009,MEDIUM,Ord_501
2279,22-02-2010,MEDIUM,Ord_502
2465,23-06-2011,CRITICAL,Ord_503
2530,20-03-2009,MEDIUM,Ord_504
2883,22-01-2011,LOW,Ord_505
3362,28-07-2011,LOW,Ord_506
5318,03-04-2010,HIGH,Ord_507
5988,21-11-2010,"NOT SPECIFIED",Ord_508
6115,11-09-2010,MEDIUM,Ord_509
6337,31-08-2011,"NOT SPECIFIED",Ord_510
6434,07-06-2009,HIGH,Ord_511
7136,22-03-2009,HIGH,Ord_512
7489,30-09-2010,CRITICAL,Ord_513
7968,15-09-2010,LOW,Ord_514
8227,10-01-2010,"NOT SPECIFIED",Ord_515
9123,26-06-2010,CRITICAL,Ord_516
9792,23-07-2011,LOW,Ord_517
9860,10-10-2010,CRITICAL,Ord_518
10310,05-02-2009,LOW,Ord_519
10369,09-11-2011,LOW,Ord_520
10692,26-07-2009,LOW,Ord_521
11553,18-04-2009,MEDIUM,Ord_522
11776,24-02-2012,LOW,Ord_523
11782,28-07-2012,LOW,Ord_524
12199,14-12-2011,LOW,Ord_525
14275,13-06-2010,LOW,Ord_526
14535,01-10-2010,"NOT SPECIFIED",Ord_527
15329,27-04-2012,HIGH,Ord_528
15621,24-09-2011,CRITICAL,Ord_529
17826,30-06-2012,HIGH,Ord_530
17926,10-11-2011,CRITICAL,Ord_531
18247,05-11-2009,"NOT SPECIFIED",Ord_532
18471,19-02-2009,"NOT SPECIFIED",Ord_533
19813,02-03-2010,CRITICAL,Ord_534
20322,28-06-2009,CRITICAL,Ord_535
20422,26-01-2009,HIGH,Ord_536
20448,02-08-2011,CRITICAL,Ord_537
21892,04-07-2010,HIGH,Ord_538
22980,01-10-2012,"NOT SPECIFIED",Ord_539
23907,14-07-2011,"NOT SPECIFIED",Ord_540
24064,25-07-2010,MEDIUM,Ord_541
24132,06-07-2009,LOW,Ord_542
24576,11-12-2012,"NOT SPECIFIED",Ord_543
25248,01-12-2011,MEDIUM,Ord_544
25475,04-04-2009,CRITICAL,Ord_545
26978,25-06-2010,MEDIUM,Ord_546
27105,16-02-2011,"NOT SPECIFIED",Ord_547
28068,26-08-2010,LOW,Ord_548
28802,04-11-2010,HIGH,Ord_549
28839,28-04-2009,LOW,Ord_550
29252,06-08-2009,LOW,Ord_551
31941,18-03-2009,MEDIUM,Ord_552
32418,05-01-2009,"NOT SPECIFIED",Ord_553
34241,08-10-2012,LOW,Ord_554
34816,05-11-2010,"NOT SPECIFIED",Ord_555
35011,10-12-2012,"NOT SPECIFIED",Ord_556
36068,05-02-2009,CRITICAL,Ord_557
36930,28-09-2011,MEDIUM,Ord_558
37315,05-06-2012,LOW,Ord_559
37925,26-09-2010,MEDIUM,Ord_560
38021,21-01-2009,MEDIUM,Ord_561
38336,05-10-2012,CRITICAL,Ord_562
38565,25-03-2009,CRITICAL,Ord_563
39783,20-09-2012,"NOT SPECIFIED",Ord_564
42500,05-02-2010,"NOT SPECIFIED",Ord_565
44162,19-03-2010,HIGH,Ord_566
44256,19-11-2011,LOW,Ord_567
44320,29-04-2009,MEDIUM,Ord_568
45377,03-04-2011,LOW,Ord_569
47367,16-04-2011,MEDIUM,Ord_570
47750,15-06-2010,LOW,Ord_571
48388,09-08-2009,HIGH,Ord_572
49059,20-09-2009,MEDIUM,Ord_573
49510,20-03-2012,CRITICAL,Ord_574
49634,23-03-2012,"NOT SPECIFIED",Ord_575
50210,19-07-2010,LOW,Ord_576
50503,21-11-2012,MEDIUM,Ord_577
50816,27-03-2009,HIGH,Ord_578
51073,14-05-2010,"NOT SPECIFIED",Ord_579
51584,17-10-2010,CRITICAL,Ord_580
51879,24-08-2010,"NOT SPECIFIED",Ord_581
52288,10-08-2011,HIGH,Ord_582
53190,24-09-2009,MEDIUM,Ord_583
53536,30-10-2012,HIGH,Ord_584
53572,07-05-2010,MEDIUM,Ord_585
53825,09-04-2011,LOW,Ord_586
53863,03-06-2010,HIGH,Ord_587
54119,22-05-2010,MEDIUM,Ord_588
56224,25-10-2012,MEDIUM,Ord_589
56293,05-01-2010,"NOT SPECIFIED",Ord_590
57959,30-12-2011,MEDIUM,Ord_591
58500,14-02-2011,LOW,Ord_592
59584,28-05-2010,MEDIUM,Ord_593
261,28-06-2010,MEDIUM,Ord_594
928,01-03-2011,LOW,Ord_595
1282,27-02-2012,"NOT SPECIFIED",Ord_596
1856,19-03-2012,"NOT SPECIFIED",Ord_597
1925,04-03-2012,CRITICAL,Ord_598
2848,09-03-2012,CRITICAL,Ord_599
5504,05-01-2010,HIGH,Ord_600
8390,21-04-2012,MEDIUM,Ord_601
8545,17-06-2009,LOW,Ord_602
9573,13-06-2012,MEDIUM,Ord_603
9892,16-07-2012,MEDIUM,Ord_604
10048,15-05-2009,"NOT SPECIFIED",Ord_605
10144,02-01-2011,CRITICAL,Ord_606
10432,05-01-2012,LOW,Ord_607
